C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Scripts\python.exe "C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\step 1 simulation\step1_sim.py" 
C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Lib\site-packages\pygame\surfarray.py:47: UserWarning: The NumPy module was reloaded (imported a second time). This can in some cases result in small but subtle issues and is discouraged.
  import numpy
pygame 2.6.0 (SDL 2.28.4, Python 3.12.1)
(337, 0.0001762000028975308)
(338, 0.0002337999758310616)
(339, 0.0002294000005349517)
(340, 0.00017900002421811223)
(341, 0.0002505999873392284)
(342, 0.0001781000173650682)
(343, 0.00017630000365898013)
(344, 0.00021670002024620771)
(345, 0.00017640000442042947)
(346, 0.0001792000257410109)
(347, 0.00017640000442042947)
(348, 0.00017850002041086555)
(349, 0.00017660000594332814)
(350, 0.00017900002421811223)
(351, 0.00017590000061318278)
(352, 0.0001789000234566629)
(353, 0.0001765000051818788)
(354, 0.00017849996220320463)
(355, 0.00021319999359548092)
(356, 0.0001784000196494162)
(357, 0.0001753999968059361)
(358, 0.0001789000234566629)
(359, 0.00017529999604448676)
(360, 0.00019029999384656549)
(361, 0.00017670000670477748)
(362, 0.0001784000196494162)
(363, 0.00017640000442042947)
(364, 0.00017830001888796687)
(365, 0.00019729998894035816)
(366, 0.00019270001212134957)
(367, 0.00017549999756738544)
(368, 0.0001776000135578215)
(369, 0.00017559999832883477)
(370, 0.00017889996524900198)
(371, 0.00021700002253055573)
(372, 0.00017900002421811223)
(373, 0.00017710000975057483)
(374, 0.00017879996448755264)
(375, 0.00017699995078146458)
(376, 0.00019940000493079424)
(377, 0.0002125999890267849)
(378, 0.00018010003259405494)
(379, 0.0001770000089891255)
(380, 0.00017900002421811223)
(381, 0.00017769995611160994)
(382, 0.00017879996448755264)
(383, 0.00017630000365898013)
(384, 0.00017930002650246024)
(385, 0.0001756999990902841)
(386, 0.00021680002100765705)
(387, 0.00017610000213608146)
(388, 0.00019570003496482968)
(389, 0.00018099998123943806)
(390, 0.0001841000048443675)
(391, 0.00018170004477724433)
(392, 0.00018370000179857016)
(393, 0.00018119998276233673)
(394, 0.00018350000027567148)
(395, 0.0001818999880924821)
(396, 0.0001846999512054026)
(397, 0.00018169998656958342)
(398, 0.0001941000227816403)
(399, 0.00017670000670477748)
(400, 0.00017939996905624866)
(401, 0.00017710000975057483)
(402, 0.0002139000571332872)
(403, 0.00017670000670477748)
(404, 0.00017969997134059668)
(405, 0.00017710000975057483)
(406, 0.00018350000027567148)
(407, 0.00021539995213970542)
(408, 0.00017909996677190065)
(409, 0.00017670000670477748)
(410, 0.00018010003259405494)
(411, 0.00017720001051202416)
(412, 0.0002172000240534544)
(413, 0.0001773000112734735)
(414, 0.00017959997057914734)
(415, 0.00017670000670477748)
(416, 0.00017960002878680825)
(417, 0.0002442999975755811)
(418, 0.00021280004875734448)
(419, 0.00017709995154291391)
(420, 0.00017959997057914734)
(421, 0.00017740001203492284)
(422, 0.0002169000217691064)
(423, 0.00017710000975057483)
(424, 0.00021309999283403158)
(425, 0.00017820001812651753)
(426, 0.00021889997879043221)
(427, 0.00025429995730519295)
(428, 0.00023880001390352845)
(429, 0.00017870002193376422)
(430, 0.00017990003107115626)
(431, 0.00017630000365898013)
(432, 0.00021440000273287296)
(433, 0.0001776000135578215)
(434, 0.0001799999736249447)
(435, 0.00017709995154291391)
(436, 0.00017969997134059668)
(437, 0.00022300001000985503)
(438, 0.0001797000295482576)
(439, 0.0001776000135578215)
(440, 0.0001805999781936407)
(441, 0.0001773000112734735)
(442, 0.00018050003563985229)
(443, 0.00017660000594332814)
(444, 0.00018239999189972878)
(445, 0.00017680000746622682)
(446, 0.00017990003107115626)
(447, 0.00020079995738342404)
(448, 0.00018009997438639402)
(449, 0.00017660000594332814)
(450, 0.0001797000295482576)
(451, 0.00017690000822767615)
(452, 0.00017960002878680825)
(453, 0.0001765000051818788)
(454, 0.00017959997057914734)
(455, 0.00017579999985173345)
(456, 0.00017919996753335)
(457, 0.00017630000365898013)
(458, 0.00021520000882446766)
(459, 0.0001773000112734735)
(460, 0.00017950002802535892)
(461, 0.0001770000089891255)
(462, 0.00017959997057914734)
(463, 0.00021500000730156898)
(464, 0.00017940002726390958)
(465, 0.00017640000442042947)
(466, 0.0001792000257410109)
(467, 0.00017660000594332814)
(468, 0.00020110001787543297)
(469, 0.00023090001195669174)
(470, 0.00018119998276233673)
(471, 0.00017660000594332814)
(472, 0.00017880002269521356)
(473, 0.00019950000569224358)
(474, 0.00019400002202019095)
(475, 0.0001765000051818788)
(476, 0.00017919996753335)
(477, 0.00017689995002001524)
(478, 0.00020509999012574553)
(479, 0.0002277999883517623)
(480, 0.00021399999968707561)
(481, 0.00017670000670477748)
(482, 0.00017860002117231488)
(483, 0.00021160003961995244)
(484, 0.00017859996296465397)
(485, 0.00017699995078146458)
(486, 0.00017859996296465397)
(487, 0.00017610000213608146)
(488, 0.0001792000257410109)
(489, 0.00028470001416280866)
(490, 0.00027190003311261535)
(491, 0.00022559997159987688)
(492, 0.00017930002650246024)
(493, 0.00021279999054968357)
(494, 0.0001784000196494162)
(495, 0.0001765000051818788)
(496, 0.00017900002421811223)
(497, 0.00017640000442042947)
(498, 0.00021440000273287296)
(499, 0.0001765000051818788)
(500, 0.00017910002497956157)
(501, 0.00017600000137463212)
(502, 0.00018370000179857016)
(503, 0.0002164000179618597)
(504, 0.00017910002497956157)
(505, 0.00017670000670477748)
(506, 0.00017909996677190065)
(507, 0.0001762000028975308)
(508, 0.00021359999664127827)
(509, 0.00021279999054968357)
(510, 0.00017940002726390958)
(511, 0.00017610000213608146)
(512, 0.00017909996677190065)
(513, 0.00022419996093958616)
(514, 0.00018070003716275096)
(515, 0.0001765000051818788)
(516, 0.00017909996677190065)
(517, 0.00017629994545131922)
(518, 0.0002315999590791762)
(519, 0.00021189998369663954)
(520, 0.0001792000257410109)
(521, 0.00017660000594332814)
(522, 0.00017929996829479933)
(523, 0.00021470000501722097)
(524, 0.00017930002650246024)
(525, 0.00017710000975057483)
(526, 0.00017960002878680825)
(527, 0.0001765000051818788)
(528, 0.0001996000064536929)
(529, 0.000229199999012053)
(530, 0.00021349999587982893)
(531, 0.0001765000051818788)
(532, 0.00017950002802535892)
(533, 0.00021819997346028686)
(534, 0.00017939996905624866)
(535, 0.00017670000670477748)
(536, 0.00017940002726390958)
(537, 0.00017690000822767615)
(538, 0.0001802999759092927)
(539, 0.00017709995154291391)
(540, 0.00017989997286349535)
(541, 0.0001773000112734735)
(542, 0.00017990003107115626)
(543, 0.00017670000670477748)
(544, 0.00021490000654011965)
(545, 0.00019370001973584294)
(546, 0.00018440000712871552)
(547, 0.00018209998961538076)
(548, 0.00018430000636726618)
(549, 0.00018209998961538076)
(550, 0.00018440000712871552)
(551, 0.00019160000374540687)
(552, 0.00017950002802535892)
(553, 0.00017740001203492284)
(554, 0.00021470000501722097)
(555, 0.0001773000112734735)
(556, 0.0001802999759092927)
(557, 0.00017739995382726192)
(558, 0.00017939996905624866)
(559, 0.0001797000295482576)
(560, 0.000179499969817698)
(561, 0.0001770000089891255)
(562, 0.000179499969817698)
(563, 0.0001770000089891255)
(564, 0.0001784000196494162)
(565, 0.00021430000197142363)
(566, 0.00017980003030970693)
(567, 0.0001773000112734735)
(568, 0.00018019997514784336)
(569, 0.0001775999553501606)
(570, 0.00026430003345012665)
(571, 0.0001941000227816403)
(572, 0.00018430000636726618)
(573, 0.00018209998961538076)
(574, 0.00018440000712871552)
(575, 0.00018179998733103275)
(576, 0.00018560001626610756)
(577, 0.00019260001135990024)
(578, 0.00017860002117231488)
(579, 0.00017680000746622682)
(580, 0.00020940002286806703)
(581, 0.00023629999486729503)
(582, 0.00019559997599571943)
(583, 0.0001772999530658126)
(584, 0.0001802999759092927)
(585, 0.00021580001339316368)
(586, 0.00017989997286349535)
(587, 0.00017630000365898013)
(588, 0.00018020003335550427)
(589, 0.0001781000173650682)
(590, 0.0002245999639853835)
(591, 0.0001772999530658126)
(592, 0.00017960002878680825)
(593, 0.00017690000822767615)
(594, 0.0002133999951183796)
(595, 0.00019240000983700156)
(596, 0.00017969997134059668)
(597, 0.00017680000746622682)
(598, 0.000179499969817698)
(599, 0.00017710000975057483)
(600, 0.0002136999974027276)
(601, 0.00017600000137463212)
(602, 0.00017989997286349535)
(603, 0.00017670000670477748)
(604, 0.00017860002117231488)
(605, 0.00021119997836649418)
(606, 0.00017900002421811223)
(607, 0.00017640000442042947)
(608, 0.00017910002497956157)
(609, 0.0001765000051818788)
(610, 0.00020830001449212432)
(611, 0.00019200000679120421)
(612, 0.0001792000257410109)
(613, 0.0001773000112734735)
(614, 0.00017919996753335)
(615, 0.00017610000213608146)
(616, 0.00021620001643896103)
(617, 0.0001765000051818788)
(618, 0.00019670004257932305)
(619, 0.0001813999842852354)
(620, 0.00018289999570697546)
(621, 0.00018170004477724433)
(622, 0.00018339999951422215)
(623, 0.00018069997895509005)
(624, 0.00018390000332146883)
(625, 0.00018039997667074203)
(626, 0.0001841000048443675)
(627, 0.00018049997743219137)
(628, 0.0001843999489210546)
(629, 0.00018129998352378607)
(630, 0.0001841000048443675)
(631, 0.0001818999880924821)
(632, 0.00018450000789016485)
(633, 0.000181900046300143)
(634, 0.0001838000025600195)
(635, 0.00018079997971653938)
(636, 0.00018560001626610756)
(637, 0.00018140004249289632)
(638, 0.00018470000941306353)
(639, 0.00019190000602975488)
(640, 0.00017929996829479933)
(641, 0.00017630000365898013)
(642, 0.00021399999968707561)
(643, 0.00017670000670477748)
(644, 0.00019749999046325684)
(645, 0.00018209998961538076)
(646, 0.00018360000103712082)
(647, 0.00018220004858449101)
(648, 0.0001832999987527728)
(649, 0.00018119998276233673)
(650, 0.00018339999951422215)
(651, 0.000181600044015795)
(652, 0.00018470000941306353)
(653, 0.00018239999189972878)
(654, 0.00018430000636726618)
(655, 0.00018089998047798872)
(656, 0.00018309999722987413)
(657, 0.00018149998504668474)
(658, 0.0001838000025600195)
(659, 0.00018079997971653938)
(660, 0.0001824999926611781)
(661, 0.00018149998504668474)
(662, 0.0001832999987527728)
(663, 0.0001811000402085483)
(664, 0.00018360000103712082)
(665, 0.00018099998123943806)
(666, 0.00018350000027567148)
(667, 0.00018269999418407679)
(668, 0.00019509997218847275)
(669, 0.0001818999880924821)
(670, 0.00018360000103712082)
(671, 0.0001840999466367066)
(672, 0.00018389994511380792)
(673, 0.0001821999903768301)
(674, 0.00018390000332146883)
(675, 0.00018149998504668474)
(676, 0.0001832999987527728)
(677, 0.0001818999880924821)
(678, 0.00018450000789016485)
(679, 0.0001805999781936407)
(680, 0.00018260005163028836)
(681, 0.00018159998580813408)
(682, 0.00018339999951422215)
(683, 0.0001808000379242003)
(684, 0.00018339999951422215)
(685, 0.00018209998961538076)
(686, 0.00018350000027567148)
(687, 0.00018099998123943806)
(688, 0.00018269999418407679)
(689, 0.00018129998352378607)
(690, 0.00018239999189972878)
(691, 0.00018159998580813408)
(692, 0.00018390000332146883)
(693, 0.00018089998047798872)
(694, 0.00018419994739815593)
(695, 0.00018009997438639402)
(696, 0.0001832999987527728)
(697, 0.00018090003868564963)
(698, 0.00018269999418407679)
(699, 0.0001810999820008874)
(700, 0.0001832999987527728)
(701, 0.00018079997971653938)
(702, 0.00018309999722987413)
(703, 0.00018100003944709897)
(704, 0.00018269999418407679)
(705, 0.00018179998733103275)
(706, 0.0001824000501073897)
(707, 0.00017989997286349535)
(708, 0.0001824999926611781)
(709, 0.00017959997057914734)
(710, 0.0001838000025600195)
(711, 0.00018130004173144698)
(712, 0.0001824999926611781)
(713, 0.00018009997438639402)
(714, 0.00018289999570697546)
(715, 0.00018159998580813408)
(716, 0.00018360000103712082)
(717, 0.00018020003335550427)
(718, 0.00018229999113827944)
(719, 0.0001802999759092927)
(720, 0.00018269999418407679)
(721, 0.00017939996905624866)
(722, 0.00018260005163028836)
(723, 0.00018019997514784336)
(724, 0.0001821999903768301)
(725, 0.000179499969817698)
(726, 0.00018339999951422215)
(727, 0.0001789000234566629)
(728, 0.00018199998885393143)
(729, 0.00017960002878680825)
(730, 0.0001821999903768301)
(731, 0.00018040003487840295)
(732, 0.00018149998504668474)
(733, 0.00018040003487840295)
(734, 0.00018149998504668474)
(735, 0.00018010003259405494)
(736, 0.00018229999113827944)
(737, 0.00018019997514784336)
(738, 0.00018290005391463637)
(739, 0.00017909996677190065)
(740, 0.00018170004477724433)
(741, 0.00017929996829479933)
(742, 0.00018259999342262745)
(743, 0.00017899996601045132)
(744, 0.00018149998504668474)
(745, 0.00017959997057914734)
(746, 0.0001810999820008874)
(747, 0.00018829997861757874)
(748, 0.0001827000523917377)
(749, 0.0001799999736249447)
(750, 0.00018100003944709897)
(751, 0.00017889996524900198)
(752, 0.00018290005391463637)
(753, 0.00017919996753335)
(754, 0.0001811000402085483)
(755, 0.00017909996677190065)
(756, 0.00018119998276233673)
(757, 0.00017959997057914734)
(758, 0.00018239999189972878)
(759, 0.00017969997134059668)
(760, 0.00018119998276233673)
(761, 0.0001792000257410109)
(762, 0.00018099998123943806)
(763, 0.00018060003640130162)
(764, 0.0001821999903768301)
(765, 0.00017989997286349535)
(766, 0.00018179998733103275)
(767, 0.00017969997134059668)
(768, 0.00018239999189972878)
(769, 0.00017929996829479933)
(770, 0.00018179998733103275)
(771, 0.00018069997895509005)
(772, 0.0001811000402085483)
(773, 0.000179499969817698)
(774, 0.0001813999842852354)
(775, 0.00017930002650246024)
(776, 0.00018159998580813408)
(777, 0.00017939996905624866)
(778, 0.0001810999820008874)
(779, 0.00018119998276233673)
(780, 0.00018280005315318704)
(781, 0.00018049997743219137)
(782, 0.00018159998580813408)
(783, 0.000179799972102046)
(784, 0.00018339999951422215)
(785, 0.00018020003335550427)
(786, 0.00018179998733103275)
(787, 0.0001803000341169536)
(788, 0.0001818999880924821)
(789, 0.0001797000295482576)
(790, 0.00018309999722987413)
(791, 0.00017969997134059668)
(792, 0.0001821999903768301)
(793, 0.00018009997438639402)
(794, 0.000181900046300143)
(795, 0.00018049997743219137)
(796, 0.00018259999342262745)
(797, 0.00018070003716275096)
(798, 0.00018169998656958342)
(799, 0.0001800000318326056)
(800, 0.0001821999903768301)
(801, 0.00018090003868564963)
(802, 0.00018149998504668474)
(803, 0.00018050003563985229)
(804, 0.00018179998733103275)
(805, 0.0001802999759092927)
(806, 0.00018289999570697546)
(807, 0.00018039997667074203)
(808, 0.00018220004858449101)
(809, 0.00017989997286349535)
(810, 0.00018229999113827944)
(811, 0.00018079997971653938)
(812, 0.00018229999113827944)
(813, 0.00018090003868564963)
(814, 0.0001824999926611781)
(815, 0.00018020003335550427)
(816, 0.00018259999342262745)
(817, 0.00018069997895509005)
(818, 0.000181900046300143)
(819, 0.00017989997286349535)
(820, 0.00018220004858449101)
(821, 0.0001802999759092927)
(822, 0.0001821999903768301)
(823, 0.0001799999736249447)
(824, 0.00018179998733103275)
(825, 0.0001799999736249447)
(826, 0.0001821999903768301)
(827, 0.00018939998699352145)
(828, 0.0001821999903768301)
(829, 0.00018050003563985229)
(830, 0.00018179998733103275)
(831, 0.00017980003030970693)
(832, 0.00018269999418407679)
(833, 0.00018009997438639402)
(834, 0.000181900046300143)
(835, 0.000179799972102046)
(836, 0.00018180004553869367)
(837, 0.00018089998047798872)
(838, 0.00018209998961538076)
(839, 0.00017989997286349535)
(840, 0.00018149998504668474)
(841, 0.0001797000295482576)
(842, 0.0001810999820008874)
(843, 0.00018099998123943806)
(844, 0.00018209998961538076)
(845, 0.00018020003335550427)
(846, 0.0001996000064536929)
(847, 0.00018450000789016485)
(848, 0.00018779997481033206)
(849, 0.00018440000712871552)
(850, 0.00020060001406818628)
(851, 0.0001797000295482576)
(852, 0.00018169998656958342)
(853, 0.0002115000388585031)
(854, 0.00019109999993816018)
(855, 0.00018179998733103275)
(856, 0.00018199998885393143)
(857, 0.00018009997438639402)
(858, 0.00018289999570697546)
(859, 0.00018020003335550427)
(860, 0.0001824999926611781)
(861, 0.00018079997971653938)
(862, 0.0001813999842852354)
(863, 0.00018039997667074203)
(864, 0.00018230004934594035)
(865, 0.00017969997134059668)
(866, 0.00018230004934594035)
(867, 0.00017939996905624866)
(868, 0.00018209998961538076)
(869, 0.0001810999820008874)
(870, 0.0001813999842852354)
(871, 0.00017950002802535892)
(872, 0.00018159998580813408)
(873, 0.00018060003640130162)
(874, 0.0001821999903768301)
(875, 0.00017990003107115626)
(876, 0.00018269999418407679)
(877, 0.0001797000295482576)
(878, 0.00018229999113827944)
(879, 0.0001799999736249447)
(880, 0.00018289999570697546)
(881, 0.00017989997286349535)
(882, 0.00018230004934594035)
(883, 0.0001799999736249447)
(884, 0.00018180004553869367)
(885, 0.0001805999781936407)
(886, 0.00018209998961538076)
(887, 0.0001799999736249447)
(888, 0.00018229999113827944)
(889, 0.00017969997134059668)
(890, 0.00018259999342262745)
(891, 0.00017990003107115626)
(892, 0.0001821999903768301)
(893, 0.00018040003487840295)
(894, 0.00018199998885393143)
(895, 0.00018020003335550427)
(896, 0.0001821999903768301)
(897, 0.00018009997438639402)
(898, 0.00018259999342262745)
(899, 0.00018039997667074203)
(900, 0.00018220004858449101)
(901, 0.0001805999781936407)
(902, 0.00018229999113827944)
(903, 0.00018130004173144698)
